,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,HM2,HM3,HM4,HM5,AM1,AM2,AM3,AM4,AM5,MW,HTFormPtsStr,ATFormPtsStr,HTFormPts,ATFormPts,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts
49,2021-01-24,Rostov-Don,CSM Bucuresti,30,29,H,254,239,254,239,0.15,0.1,W,L,W,W,W,L,L,L,W,W,10.0,WLWWW,LLLWW,8,4,1,0,0,0,0,0,0,0,0.0,0.0,0.05,0.04
50,2021-01-24,Team Esbjerg,RK Krim Mercator,33,23,H,243,222,243,222,0.06,0.04,W,D,L,L,L,L,D,L,L,L,10.0,WDLLL,LDLLL,3,1,0,0,1,0,0,0,1,0,0.0,0.0,0.02,0.02
51,2021-02-03,SG BBM Bietigheim,Vipers Kristiansand,28,29,NH,225,245,225,245,0.01,0.13,L,D,L,L,L,W,D,W,D,L,10.0,LDLLL,WDWDL,1,6,0,0,1,0,0,0,0,0,0.0,0.0,-0.12,-0.05
52,2021-01-17,HC Podravka Vegeta,CSKA,25,27,NH,243,252,243,252,0.05,0.13,D,L,L,L,L,W,L,L,W,W,10.0,DLLLL,WLLWW,1,6,0,0,1,0,0,0,0,0,0.0,0.0,-0.08,-0.05
53,2021-01-20,Buducnost BEMAX,Odense Håndbold,25,23,H,232,252,232,252,0.08,0.11000000000000001,D,W,W,L,W,D,L,W,L,W,10.0,DWWLW,DLWLW,7,5,0,0,0,0,0,0,0,0,0.0,0.0,-0.03,0.02
54,2021-01-23,Győri Audi ETO KC,Brest Bretagne Handball,27,27,NH,288,269,288,269,0.16,0.13,W,W,W,W,W,D,W,W,W,L,10.0,WWWWW,DWWWL,10,7,1,1,0,0,0,0,0,0,0.0,0.0,0.03,0.03
55,2021-01-23,BV Borussia 09 Dortmund,SCM Ramnicu Valcea,27,24,H,244,238,244,238,0.02,0.04,L,L,L,L,L,L,W,L,W,L,10.0,LLLLL,LWLWL,0,4,0,0,1,1,0,0,0,0,0.0,0.0,-0.02,-0.04
56,2021-02-06,FTC-Rail Cargo Hungaria,SG BBM Bietigheim,30,28,H,277,253,277,253,0.09917355371900825,0.008264462809917356,W,L,W,W,W,L,L,D,L,L,11.0,WLWWW,LLDLL,8,1,1,0,0,0,0,0,0,0,0.0,0.0,0.09090909090909091,0.05785123966942149
57,2021-02-06,CSM Bucuresti,Team Esbjerg,28,26,H,268,276,268,276,0.08264462809917356,0.06611570247933884,L,L,L,L,W,W,W,D,L,L,11.0,LLLLW,WWDLL,2,5,0,0,0,0,0,0,0,0,0.0,0.0,0.01652892561983471,-0.024793388429752063
58,2021-02-06,RK Krim Mercator,Rostov-Don,28,27,H,245,284,245,284,0.03305785123966942,0.14049586776859505,L,L,D,L,L,W,W,L,W,W,11.0,LLDLL,WWLWW,1,8,0,0,0,0,0,0,0,0,0.0,0.0,-0.10743801652892562,-0.05785123966942149
59,2021-02-07,Metz Handball,Vipers Kristiansand,25,33,NH,285,274,285,274,0.10743801652892562,0.12396694214876032,L,W,W,W,D,W,W,D,W,D,11.0,LWWWD,WWDWD,7,8,0,0,0,0,0,0,0,0,0.0,0.0,-0.01652892561983471,-0.008264462809917356
60,2021-01-24,BV Borussia 09 Dortmund,HC Podravka Vegeta,32,31,H,271,268,271,268,0.03305785123966942,0.04132231404958678,W,L,L,L,L,L,D,L,L,L,11.0,WLLLL,LDLLL,2,1,0,0,1,0,0,0,1,0,0.0,0.0,-0.008264462809917356,0.008264462809917356
61,2021-01-24,SCM Ramnicu Valcea,CSKA,24,34,NH,262,279,262,279,0.03305785123966942,0.12396694214876032,L,L,W,L,W,W,W,L,L,W,11.0,LLWLW,WWLLW,4,6,0,0,0,0,0,0,0,0,0.0,0.0,-0.09090909090909091,-0.01652892561983471
62,2021-01-29,Buducnost BEMAX,Győri Audi ETO KC,21,26,NH,257,315,257,315,0.08264462809917356,0.14049586776859505,W,D,W,W,L,D,W,W,W,W,11.0,WDWWL,DWWWW,7,9,0,0,0,0,1,0,0,0,0.0,0.0,-0.05785123966942149,-0.01652892561983471
63,2021-01-31,Odense Håndbold,Brest Bretagne Handball,30,26,H,275,296,275,296,0.09090909090909091,0.11570247933884298,L,D,L,W,L,D,D,W,W,W,11.0,LDLWL,DDWWW,3,8,0,0,0,0,1,0,0,0,0.0,0.0,-0.024793388429752063,-0.04132231404958678
64,2021-02-08,Metz Handball,FTC-Rail Cargo Hungaria,26,31,NH,310,307,310,307,0.09027777777777778,0.09722222222222222,L,L,W,W,W,W,W,L,W,W,12.0,LLWWW,WWLWW,6,8,1,0,0,0,0,0,0,0,0.0,0.0,-0.006944444444444444,-0.013888888888888888
65,2021-02-10,Rostov-Don,Vipers Kristiansand,23,24,NH,311,307,311,307,0.11805555555555557,0.11805555555555557,L,W,W,L,W,W,W,W,D,W,12.0,LWWLW,WWWDW,6,9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-0.020833333333333332
66,2021-02-13,CSM Bucuresti,SG BBM Bietigheim,25,22,H,296,281,296,281,0.08333333333333333,0.006944444444444444,W,L,L,L,L,L,L,L,D,L,12.0,WLLLL,LLLDL,2,1,0,0,1,0,0,0,0,0,0.0,0.0,0.07638888888888888,0.006944444444444444
67,2021-02-13,RK Krim Mercator,Team Esbjerg,26,24,H,273,302,273,302,0.041666666666666664,0.05555555555555555,W,L,L,D,L,L,W,W,D,L,12.0,WLLDL,LWWDL,3,5,0,0,0,0,0,0,0,0,0.0,0.0,-0.013888888888888888,-0.013888888888888888
68,2021-02-06,Brest Bretagne Handball,BV Borussia 09 Dortmund,33,33,NH,322,303,322,303,0.09722222222222222,0.041666666666666664,L,D,D,W,W,W,W,L,L,L,12.0,LDDWW,WWLLL,6,4,0,0,0,0,0,0,1,0,0.0,0.0,0.05555555555555555,0.013888888888888888
