Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,
22/05/21,15:00:00,HC Podravka Vegeta,Vipers Kristiansand,28,30,A,14,10,H,+
21/05/21,18:00:00,Buducnost BEMAX,RK Krim Mercator,33,28,H,11,11,D,+
22/05/21,14:00:00,Brest Bretagne Handball,Rostov-Don,30,38,A,19,15,H,+
29/05/21,16:00:00,RK Krim Mercator,Brest Bretagne Handball,25,26,A,12,11,H,+
28/05/21,14:00:00,Vipers Kristiansand,HC Podravka Vegeta,37,33,H,19,12,H,+
29/05/21,16:00:00,Metz Handball,CSKA,22,22,D,14,11,H,+
29/05/21,18:00:00,SG BBM Bietigheim,Odense Håndbold,23,25,A,9,13,A,+
29/05/21,16:00:00,SCM Ramnicu Valcea,FTC-Rail Cargo Hungaria,27,29,A,12,15,A,+
30/05/21,15:15:00,Győri Audi ETO KC,Team Esbjerg,37,27,H,18,10,H,+
29/05/21,16:00:00,BV Borussia 09 Dortmund,CSM Bucuresti,28,27,H,12,14,A,+
30/05/21,16:00:00,Buducnost BEMAX,Rostov-Don,19,30,A,10,14,A,+
04/06/21,16:00:00,RK Krim Mercator,Buducnost BEMAX,25,25,D,12,10,H,+
04/06/21,17:00:00,CSM Bucuresti,Brest Bretagne Handball,26,28,A,16,11,H,+
04/06/21,17:00:00,Rostov-Don,Győri Audi ETO KC,32,31,H,15,15,D,+
04/06/21,16:00:00,FTC-Rail Cargo Hungaria,CSKA,22,28,A,12,13,A,+
04/06/21,16:00:00,BV Borussia 09 Dortmund,SG BBM Bietigheim,31,25,H,16,17,A,+
04/06/21,16:00:00,SCM Ramnicu Valcea,Vipers Kristiansand,26,26,D,13,15,A,+
04/06/21,18:00:00,HC Podravka Vegeta,Team Esbjerg,22,21,H,12,17,A,+
04/06/21,16:00:00,Odense Håndbold,Metz Handball,19,24,A,13,15,A,+
11/06/21,16:00:00,CSKA,FTC-Rail Cargo Hungaria,27,28,A,14,10,H,+
11/06/21,18:00:00,HC Podravka Vegeta,Metz Handball,25,21,H,11,12,A,+
11/06/21,18:00:00,BV Borussia 09 Dortmund,RK Krim Mercator,29,30,A,15,11,H,+
11/06/21,17:00:00,Rostov-Don,SCM Ramnicu Valcea,31,22,H,16,15,H,+
11/06/21,18:45:00,Vipers Kristiansand,Brest Bretagne Handball,29,26,H,16,15,H,+
11/06/21,16:00:00,Team Esbjerg,Győri Audi ETO KC,35,43,A,16,17,A,+
11/06/21,16:30:00,SG BBM Bietigheim,Buducnost BEMAX,25,25,D,11,13,A,+
11/06/21,17:00:00,CSM Bucuresti,Odense Håndbold,22,21,H,12,11,H,+
18/06/21,18:00:00,Rostov-Don,CSKA,33,33,D,16,17,A,+
18/06/21,16:00:00,RK Krim Mercator,HC Podravka Vegeta,32,27,H,16,15,H,+
18/06/21,18:00:00,Vipers Kristiansand,BV Borussia 09 Dortmund,26,28,A,15,14,H,+
18/06/21,16:00:00,Metz Handball,Buducnost BEMAX,30,22,H,16,12,H,+
18/06/21,18:00:00,Brest Bretagne Handball,SG BBM Bietigheim,26,26,D,12,12,D,+
18/06/21,16:00:00,Odense Håndbold,Team Esbjerg,26,25,H,10,12,A,+
18/06/21,14:00:00,Győri Audi ETO KC,CSM Bucuresti,35,37,A,18,11,H,+
18/06/21,18:45:00,FTC-Rail Cargo Hungaria,SCM Ramnicu Valcea,26,24,H,18,15,H,+
24/06/21,17:00:00,SG BBM Bietigheim,BV Borussia 09 Dortmund,20,19,H,9,10,A,+
24/06/21,14:00:00,Team Esbjerg,HC Podravka Vegeta,23,23,D,13,12,H,+
24/06/21,16:00:00,Odense Håndbold,Rostov-Don,27,30,A,14,12,H,+
24/06/21,16:00:00,CSKA,Metz Handball,27,22,H,12,12,D,+
24/06/21,18:00:00,Győri Audi ETO KC,FTC-Rail Cargo Hungaria,35,27,H,13,15,A,+
24/06/21,16:00:00,Brest Bretagne Handball,CSM Bucuresti,30,30,D,13,17,A,+
24/06/21,16:00:00,SCM Ramnicu Valcea,RK Krim Mercator,21,27,A,12,15,A,+
24/06/21,16:00:00,Buducnost BEMAX,Vipers Kristiansand,22,30,A,12,14,A,+
